 2010년 , 남 6세이하 , 남 12세이하 , 남 15세이하 , 남 20세이하 , 남 30세이하 , 남 40세이하 , 남 50세이하 , 남 60세이하 , 남 60세초과 , 여 6세이하 , 여 12세이하 , 여 15세이하 , 여 20세이하 , 여 30세이하 , 여 40세이하 , 여 50세이하 , 여 60세이하 , 여 60세초과 , 불상 
 디자인보호법위반 , - , - , - , - , 1 , 16 , 60 , 49 , 12 , - , - , - , - , 1 , 5 , 8 , 6 , 1 , 21 
 마약류관리에관한법률위반(대마) , - , - , 1 , 1 , 6 , 13 , 18 , 4 , 11 , - , - , - , - , 2 , 1 , 3 , - , 1 , 46 
 마약류관리에관한법률위반(마약) , 1 , - , - , - , 1 , 1 , 8 , 2 , 3 , - , - , - , - , - , 1 , 1 , 2 , 5 , 61 
 마약류관리에관한법률위반(향정) , 1 , - , - , - , 4 , 12 , 19 , 15 , 26 , - , - , - , 1 , 8 , 6 , 6 , 1 , 2 , 112 
 마약류불법거래방지에관한특례법위반 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - 
 민사소송법위반 , - , - , - , - , - , - , 1 , 4 , 1 , - , - , - , - , - , - , - , - , - , - 
 밀항단속법위반 , - , - , - , - , - , 1 , 1 , - , 1 , - , - , - , - , - , - , - , - , - , 2 
 방문판매등에관한법률위반 , - , - , - , - , 6 , 5 , 9 , 15 , 11 , - , - , - , - , 2 , 5 , 10 , 12 , 25 , 13 
 배타적경제수역의외국인어업등에관한법률 , - , - , - , - , 2 , 7 , 11 , 2 , - , - , - , - , - , - , - , - , - , - , 14 
 범죄수익은닉의규제및처벌등에관한법률 , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , 1 , - , 1 
 변호사법위반 , - , - , - , - , 5 , 42 , 81 , 86 , 55 , - , - , - , - , 5 , 18 , 43 , 33 , 18 , 34 
 병역법위반 , 2 , - , - , 49 , 232 , 58 , 63 , 71 , 39 , - , - , - , 1 , 2 , 1 , 1 , - , 1 , 581 
 보건범죄단속에관한특별조치법위반 , - , - , 2 , 2 , 2 , 6 , 19 , 24 , 20 , - , - , - , 1 , 11 , 17 , 31 , 31 , 30 , 28 
