"범죄별(1)",범죄별(2),범죄별(3),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"범죄별(1)",범죄별(2),범죄별(3),합계,남,남,남,남,남,남,남,남,남,남,남,여,여,여,여,여,여,여,여,여,여,여,미상
"범죄별(1)",범죄별(2),범죄별(3),계,계,6세 이하,12세 이하,15세 이하,20세 이하,30세 이하,40세 이하,50세 이하,60세 이하,60세 초과,미상,계,6세 이하,12세 이하,15세 이하,20세 이하,30세 이하,40세 이하,50세 이하,60세 이하,60세 초과,미상,계
"특별법범",공중위생관리법,소계,1707,8,-,-,-,-,-,1,1,3,3,-,12,-,-,-,-,3,4,2,1,-,2,1687
"특별법범",공직선거및선거부정방지법,소계,1612,253,-,-,-,1,1,24,66,103,47,11,28,-,-,-,-,1,7,8,8,1,3,1331
"특별법범",관세법,소계,725,19,-,-,-,-,-,3,1,1,1,13,127,-,-,-,-,-,1,1,-,2,123,579
"특별법범",교통사고 처리특례법,소계,193032,120334,1282,2726,1558,7406,19082,22041,22766,23336,20136,1,68530,830,1420,812,2744,9598,10610,13274,13981,15260,1,4168
"특별법범",국가기술자격법,소계,232,9,-,-,-,-,-,-,2,5,1,1,-,-,-,-,-,-,-,-,-,-,-,223
"특별법범",국가보안법,소계,49,4,-,-,-,-,1,-,1,-,1,1,1,-,-,-,-,-,-,1,-,-,-,44
"특별법범",국민체육진흥법,소계,869,32,-,-,-,1,10,2,6,1,-,12,-,-,-,-,-,-,-,-,-,-,-,837
"특별법범",국토의계획및이용에관한법률,소계,1366,67,-,-,-,-,1,8,4,41,4,9,3,-,-,-,-,-,-,-,1,2,-,1296
"특별법범",근로기준법,소계,44492,10518,-,-,1,76,540,1072,1514,1785,795,4735,3016,-,-,-,46,412,290,353,359,114,1442,30958
"특별법범",근로자퇴직급여보장법,소계,14452,2791,-,-,-,3,113,443,500,346,127,1259,1286,-,-,-,2,121,146,176,193,50,598,10375
"특별법범",낚시관리및육성법,소계,1742,559,-,-,-,-,-,-,-,3,556,-,-,-,-,-,-,-,-,-,-,-,-,1183
"특별법범",노동조합 및 노동관계조정법,소계,429,82,-,-,-,-,-,9,21,13,1,38,8,-,-,-,-,-,-,5,1,-,2,339
"특별법범",농수산물유통 및 가격안정에 관한법률,소계,38,4,-,-,-,-,-,-,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,34
"특별법범",농수산물의원산지표시에관한법률,소계,4137,36,-,-,-,-,3,3,7,6,4,13,29,-,-,-,-,-,1,5,7,3,13,4072
"특별법범",농지법,소계,983,20,-,-,-,-,2,-,5,8,4,1,9,-,-,-,-,-,1,2,2,4,-,954
"특별법범",대기환경보전법,소계,2277,39,-,-,-,-,2,6,10,12,2,7,-,-,-,-,-,-,-,-,-,-,-,2238
"특별법범",대부업등의등록및금융이용자보호에관한법률,소계,1053,311,-,-,-,4,41,91,96,55,21,3,402,-,-,-,1,72,129,105,74,21,-,340
"특별법범",도로교통법,소계,17948,9046,12,13,23,186,1421,2280,2073,1934,1073,31,3165,5,7,2,32,374,840,960,729,216,-,5737
"특별법범",도로교통법(무면허운전),소계,67203,458,-,-,4,34,70,99,109,86,54,2,138,-,-,1,1,23,29,44,24,16,-,66607
"특별법범",도로교통법(사고후미조치),소계,97062,63680,15,51,58,598,11191,17797,15559,12220,6181,10,26294,20,11,1,89,3215,6882,8465,6080,1523,8,7088
"특별법범",도로교통법(음주운전),소계,201979,22750,13,13,6,397,3568,5400,5777,5288,2232,56,4631,15,1,2,79,700,1155,1489,914,267,9,174598
"특별법범",도로교통법(음주측정거부),소계,2593,267,-,-,-,4,42,71,77,42,28,3,59,-,-,-,-,11,12,15,19,2,-,2267
"특별법범",도로법,소계,2059,93,-,-,-,1,1,5,19,54,4,9,10,-,-,-,-,-,-,1,2,6,1,1956
"특별법범",도시및주거환경정비법,소계,382,230,-,-,-,-,-,9,33,81,107,-,40,-,-,-,-,-,-,7,18,15,-,112
"특별법범",독점규제 및 공정거래에 관한법률,소계,21,3,-,-,-,-,-,1,1,1,-,-,1,-,-,-,-,-,-,-,1,-,-,17
"특별법범",디자인보호법,소계,182,112,-,-,-,-,5,16,43,38,10,-,24,-,-,-,-,6,4,5,6,3,-,46
"특별법범",마약류관리에 관한 법률(대마),소계,843,3,-,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,1,-,-,-,839
"특별법범",마약류관리에 관한 법률(마약),소계,1215,2,-,-,-,-,-,-,-,-,-,2,3,-,-,-,-,1,1,-,-,1,-,1210
"특별법범",마약류관리에 관한 법률(향정),소계,6742,15,-,-,-,-,-,1,3,7,1,3,11,-,-,-,1,3,3,4,-,-,-,6716
"특별법범",배타적 경제수역의 외국인어업 등에 관한법률,소계,358,57,-,-,-,-,4,8,30,7,-,8,-,-,-,-,-,-,-,-,-,-,-,301
"특별법범",범죄수익은닉의 규제 및 처벌 등에 관한법률,소계,240,6,-,-,-,-,-,-,2,2,1,1,2,-,-,-,-,-,-,-,-,-,2,232
"특별법범",변호사법,소계,868,233,-,-,-,-,6,21,75,71,59,1,81,-,-,-,1,5,12,17,28,18,-,554
"특별법범",병역법,소계,6375,134,-,-,-,5,72,12,13,7,8,17,5,-,-,-,-,1,1,-,1,1,1,6236
"특별법범",보조금관리에관한법률,소계,527,22,-,-,-,-,-,-,7,8,2,5,5,-,-,-,-,1,1,1,-,2,-,500
