사용월,호선명,지하철역,22시-23시 하차인원,23시-24시 하차인원,00시-01시 하차인원,총하차승객수,구
201712,5호선,발산,15328,10175,3891,44722,강서구
201712,5호선,마곡,11611,8347,3451,35020,강서구
201712,5호선,송정,16197,10906,3523,46823,
201712,5호선,김포공항,2463,1363,627,6916,강서구
201712,5호선,개화산,10447,6958,2852,30704,강서구
201712,5호선,방화,15534,11086,4426,46580,강서구
201712,4호선,사당,40872,28997,11363,122104,동작구
201712,4호선,총신대입구(이수),36311,24783,6974,104379,동작구
201712,4호선,동작(현충원),3163,2454,1065,9845,동작구
201712,4호선,이촌(국립중앙박물관),10477,7251,2402,30607,용산구
201712,4호선,신용산,10036,6290,1849,28211,용산구
201712,4호선,삼각지,6357,4992,1964,19670,용산구
201712,4호선,숙대입구(갈월),19642,14332,3645,57261,용산구
201712,4호선,서울역,26837,17453,6837,77964,용산구
201712,4호선,회현(남대문시장),11294,8040,2384,33012,용산구
201712,4호선,명동,23820,14968,4763,67371,중구
201712,4호선,충무로,18469,14324,4938,56200,중구
201712,4호선,동대문역사문화공원,18309,13990,4036,54644,중구
201712,4호선,동대문,11325,10063,2909,35622,종로구
201712,4호선,혜화,25602,17222,6998,75424,종로구
201712,4호선,한성대입구(삼선교),26072,17791,12450,82385,성북구
201712,4호선,성신여대입구(돈암),40006,29794,7815,117621,성북구
201712,4호선,길음,47561,35043,8459,138624,성북구
201712,4호선,미아사거리,57109,37184,8621,160023,강북구
201712,4호선,미아(서울사이버대학),29829,21011,5423,86092,강북구
201712,4호선,수유(강북구청),81724,57212,15583,236243,강북구
201712,4호선,쌍문,71492,54016,18577,215577,도봉구
201712,4호선,남태령,1192,898,383,3665,서초구
201712,4호선,창동,60657,48340,17782,187436,도봉구
201712,4호선,노원,45953,37556,13221,142683,노원구
201712,4호선,상계,42353,35548,11454,131708,노원구
201712,4호선,당고개,26805,21800,7744,83154,노원구
201712,3호선,오금,13661,10116,3425,40863,송파구
201712,3호선,경찰병원,11628,8729,2576,34561,송파구
201712,3호선,가락시장,15042,10851,3548,44483,송파구
201712,3호선,수서,27757,14503,7150,77167,강남구
