사용월,호선명,지하철역,22시-23시 하차인원,23시-24시 하차인원,00시-01시 하차인원,총하차승객수,경도,위도,구
201712,일산선,삼송,27922,17629,5052,78525,126.895559,37.653096,
201712,일산선,원흥,15258,10775,4180,45471,126.873239,37.650709,
201712,우이신설선,신설동,795,639,423,2652,127.0248495,37.575326,동대문구
201712,우이신설선,보문,1953,1291,449,5646,127.0227704,37.5803121,성북구
201712,우이신설선,성신여대입구(돈암),3140,2617,767,9664,127.016544,37.59272,성북구
201712,우이신설선,정릉,5929,3853,1130,16841,127.013642,37.605726,성북구
201712,우이신설선,북한산보국문,9985,7278,1951,29199,127.008244,37.61211,성북구
201712,우이신설선,솔샘,11826,7519,2970,34141,127.01363,37.620515,강북구
201712,우이신설선,삼양사거리,3309,2083,786,9487,127.020434,37.621391,강북구
201712,우이신설선,삼양,3234,2331,752,9551,127.018166,37.627026,강북구
201712,우이신설선,화계,4690,3392,1025,13797,127.017525,37.634177,강북구
201712,우이신설선,가오리,6702,4603,1603,19610,127.01678,37.641601,강북구
201712,5호선,까치산,67861,47473,14346,197541,126.8467055,37.5317675,강서구
201712,5호선,화곡,63692,43633,12791,183808,126.840436,37.541578,강서구
201712,5호선,우장산,32684,23134,6912,95414,126.836334,37.548783,강서구
201712,5호선,발산,15328,10175,3891,44722,126.837595,37.558683,강서구
201712,5호선,마곡,11611,8347,3451,35020,126.826919,37.5619185,강서구
201712,5호선,송정,16197,10906,3523,46823,129.202405,35.187583,
201712,5호선,김포공항,2463,1363,627,6916,126.8019274,37.5618288,강서구
201712,5호선,개화산,10447,6958,2852,30704,126.806839,37.572455,강서구
201712,5호선,방화,15534,11086,4426,46580,126.813873,37.5764563,강서구
201712,4호선,사당,40872,28997,11363,122104,126.981633,37.476559,동작구
201712,4호선,총신대입구(이수),36311,24783,6974,104379,126.981876,37.486491,동작구
201712,4호선,동작(현충원),3163,2454,1065,9845,126.9790995,37.503062,동작구
201712,4호선,이촌(국립중앙박물관),10477,7251,2402,30607,126.9738155,37.5224761,용산구
201712,4호선,신용산,10036,6290,1849,28211,126.967886,37.529187,용산구
201712,4호선,삼각지,6357,4992,1964,19670,126.9734515,37.5350315,용산구
201712,4호선,숙대입구(갈월),19642,14332,3645,57261,126.971987,37.545097,용산구
201712,4호선,서울역,26837,17453,6837,77964,126.9696195,37.5536067,용산구
201712,4호선,회현(남대문시장),11294,8040,2384,33012,126.9707878,37.5547125,용산구
201712,4호선,명동,23820,14968,4763,67371,126.9861868,37.5609892,중구
201712,4호선,충무로,18469,14324,4938,56200,126.9935287,37.5609739,중구
201712,4호선,동대문역사문화공원,18309,13990,4036,54644,127.007765,37.565102,중구
201712,4호선,동대문,11325,10063,2909,35622,127.008785,37.570999,종로구
201712,4호선,혜화,25602,17222,6998,75424,127.001892,37.58208,종로구
201712,4호선,한성대입구(삼선교),26072,17791,12450,82385,127.005907,37.588374,성북구
201712,4호선,성신여대입구(돈암),40006,29794,7815,117621,127.016544,37.59272,성북구
201712,4호선,길음,47561,35043,8459,138624,127.024914,37.603185,성북구
201712,4호선,미아사거리,57109,37184,8621,160023,127.030084,37.613251,강북구
201712,4호선,미아(서울사이버대학),29829,21011,5423,86092,127.026132,37.626394,강북구
201712,4호선,수유(강북구청),81724,57212,15583,236243,127.02562,37.637979,강북구
201712,4호선,쌍문,71492,54016,18577,215577,127.0304855,37.6522545,도봉구
201712,4호선,남태령,1192,898,383,3665,126.989097,37.464237,서초구
201712,4호선,창동,60657,48340,17782,187436,127.0433646,37.648965,도봉구
201712,4호선,노원,45953,37556,13221,142683,127.060551,37.654527,노원구
201712,4호선,상계,42353,35548,11454,131708,127.073202,37.660566,노원구
201712,4호선,당고개,26805,21800,7744,83154,127.079011,37.67026,노원구
201712,3호선,오금,13661,10116,3425,40863,127.128354,37.5022335,송파구
201712,3호선,경찰병원,11628,8729,2576,34561,127.12419,37.495694,송파구
201712,3호선,가락시장,15042,10851,3548,44483,127.118104,37.4923175,송파구
201712,3호선,수서,27757,14503,7150,77167,127.1013245,37.4874685,강남구
201712,3호선,일원,12215,7547,2770,34747,127.084032,37.483869,강남구
201712,3호선,대청,16613,11883,3979,49088,127.079526,37.493601,강남구
201712,3호선,학여울,2842,2150,768,8602,127.070549,37.496683,강남구
201712,3호선,대치,15819,11922,4025,47585,127.063446,37.494569,강남구
201712,3호선,도곡,8038,5802,3484,25362,127.0556945,37.49106,강남구
201712,3호선,매봉,10157,6962,2226,29502,127.046918,37.487035,강남구
201712,3호선,양재(서초구청),34052,22174,6683,96961,127.034369,37.484102,서초구
201712,3호선,남부터미널(예술의전당),25636,15629,4105,71006,127.016274,37.48491,서초구
201712,3호선,교대(법원.검찰청),4897,3482,1236,14512,127.0142285,37.4934705,서초구
201712,3호선,고속터미널,43735,25086,5159,117715,127.0049151,37.5049142,서초구
201712,3호선,잠원,11851,7868,2445,34015,127.011611,37.51296,서초구
201712,3호선,신사,19872,16877,6169,62790,127.022883,37.524124,강남구
201712,3호선,압구정,16232,10296,4246,47006,127.0302926,37.531684,강남구
201712,3호선,옥수,20398,12901,3642,57339,127.018698,37.540514,성동구
201712,3호선,금호,17897,11628,3593,51015,127.015789,37.54826,성동구
201712,3호선,약수,21194,15340,6307,64035,127.010444,37.554431,중구
201712,3호선,동대입구,6270,4663,1575,18778,127.005316,37.558126,중구
201712,3호선,충무로,0,0,0,0,126.9935287,37.5609739,중구
201712,3호선,을지로3가,3252,2500,751,9755,126.9917735,37.566286,중구
201712,3호선,종로3가,4613,3412,1168,13806,126.9912475,37.5715,종로구
201712,3호선,안국,7674,5182,1606,22136,126.985472,37.576556,종로구
201712,3호선,경복궁(정부서울청사),14476,9580,3042,41574,126.97358,37.575838,종로구
201712,3호선,독립문,10506,7913,3802,32727,126.957918,37.574453,종로구
201712,3호선,무악재,9506,6937,2327,28276,126.950134,37.582634,서대문구
201712,3호선,홍제,36474,25208,6912,105068,126.944094,37.588792,서대문구
201712,3호선,녹번,24209,17049,4824,70291,126.935761,37.600869,은평구
201712,3호선,불광,34613,23871,7798,100895,126.9298435,37.6105025,은평구
201712,3호선,연신내,87212,63652,22176,260252,126.920842,37.618812,은평구
201712,3호선,구파발,34289,27095,9654,105327,126.918833,37.636581,은평구
201712,3호선,지축,2350,1214,160,6074,126.913746,37.648114,
201712,2호선,용두(동대문구청),2889,2035,635,8448,127.038653,37.573927,동대문구
201712,2호선,신정네거리,20898,15342,4681,61819,126.852796,37.520209,양천구
201712,2호선,양천구청,15082,13818,4656,48638,126.865633,37.512322,양천구
201712,2호선,도림천,1409,1196,457,4471,126.882624,37.51446,구로구
201712,2호선,신설동,2941,2496,896,9274,127.0248495,37.575326,동대문구
201712,2호선,신답,2776,2300,694,8546,127.04701,37.569889,성동구
201712,2호선,용답,5914,4165,1299,17292,127.050835,37.56217,성동구
201712,2호선,충정로(경기대입구),14256,10425,3584,42521,126.963672,37.560055,서대문구
201712,2호선,아현,19544,14658,4775,58521,126.956083,37.557382,마포구
201712,2호선,이대,18869,15216,5352,58306,126.945857,37.556761,마포구
201712,2호선,신촌,51775,39964,14027,157541,126.942308,37.559768,서대문구
201712,2호선,홍대입구,100279,76852,28500,305910,126.9244669,37.557527,마포구
201712,2호선,합정,41826,31371,11348,126371,126.9101219,37.5463089,마포구
201712,2호선,당산,41900,31949,9704,125453,126.9019901,37.5340278,영등포구
201712,2호선,영등포구청,25805,19881,7733,79224,126.8959946,37.5248203,영등포구
201712,2호선,문래,22279,16930,5806,67294,126.894808,37.517989,영등포구
201712,2호선,신도림,102124,84416,40227,328891,126.891336,37.508562,구로구
201712,2호선,대림(구로구청),71344,39771,11748,194207,126.8957865,37.4930835,영등포구
201712,2호선,구로디지털단지,115817,80209,23694,335537,126.901472,37.48525,구로구
201712,2호선,신대방,72986,47395,14223,207590,126.913282,37.487519,관악구
201712,2호선,신림,173671,124732,42588,514662,126.9383251,37.4626176,관악구
201712,2호선,봉천,46886,30684,10240,134696,126.941574,37.482476,관악구
201712,2호선,서울대입구(관악구청),107554,77325,29283,321716,126.952712,37.48121,관악구
201712,2호선,낙성대,68022,50000,16680,202724,126.963418,37.477117,관악구
201712,2호선,사당,88636,62953,21335,261560,126.981633,37.476559,동작구
201712,2호선,방배,26085,18066,6212,76448,126.997638,37.481512,서초구
201712,2호선,서초,13860,8635,2565,38920,127.007688,37.49184,서초구
201712,2호선,교대(법원.검찰청),32137,20550,6659,91483,127.0142285,37.4934705,서초구
201712,2호선,강남,71430,47443,15521,205824,127.027621,37.497942,강남구
201712,2호선,역삼,21315,14561,5575,62766,127.036087,37.500326,강남구
201712,2호선,선릉,23918,16690,8917,73443,127.048941,37.504479,강남구
201712,2호선,삼성(무역센터),21036,13504,7404,62980,127.063149,37.508861,강남구
201712,2호선,종합운동장,27731,18658,4969,79089,127.073774,37.511051,송파구
201712,2호선,잠실새내,48154,31135,10476,137919,127.085585,37.511624,송파구
201712,2호선,잠실(송파구청),123455,87917,22356,357183,127.1001336,37.5132612,송파구
201712,2호선,잠실나루,27307,19463,6927,81004,127.103822,37.520661,송파구
201712,2호선,강변(동서울터미널),77745,48810,13412,217712,127.094672,37.535144,광진구
