날짜, 평균기온, 최고기온, 평균운량, 일강수량
2017-11-18, -2.1℃, 2.6℃, 0.0,  -
2017-11-19, -1.6℃, 3.5℃, 2.8,  -
2017-11-20, -0.4℃, 4.2℃, 3.5, 0.0mm
2017-11-21, 1.3℃, 8.1℃, 1.1,  -
2017-11-22, 4.3℃, 10.8℃, 5.1, 0.5mm
2017-11-23, 0.9℃, 4.7℃, 4.8, 1.2mm
2017-11-24, -0.4℃, 2.9℃, 3.3, 0.0mm
2017-11-25, 3.0℃, 7.3℃, 7.5, 24.0mm
2017-11-26, 3.3℃, 7.6℃, 4.3,  -
2017-11-27, 2.5℃, 9.5℃, 0.9,  -
2017-11-28, 6.4℃, 11.2℃, 8.4, 0.5mm
2017-11-29, 3.2℃, 8.1℃, 5.4, 0.0mm
2017-11-30, -2.4℃, 2.7℃, 2.0,  -
2017-12-1, -2.2℃, 3.1℃, 2.3, 0.0mm
2017-12-2, 1.9℃, 8.1℃, 3.8,  -
2017-12-3, 4.9℃, 8.1℃, 9.0, 4.0mm
2017-12-4, -1.2℃, 4.5℃, 1.4, 0.1mm
2017-12-5, -4.2℃, -0.4℃, 1.6, 0.1mm
2017-12-6, 0.2℃, 6.0℃, 7.0, 1.2mm
2017-12-7, 0.7℃, 4.6℃, 3.5,  -
2017-12-8, -3.8℃, -0.5℃, 2.1,  -
2017-12-9, -0.5℃, 5.4℃, 2.8,  -
2017-12-10, 1.1℃, 6.7℃, 7.0, 4.1mm
2017-12-11, -7.0℃, -2.5℃, 0.3,  -
2017-12-12, -9.4℃, -5.2℃, 0.0,  -
2017-12-13, -8.7℃, -4.4℃, 0.0,  -
2017-12-14, -6.6℃, -1.9℃, 5.9,  -
2017-12-15, -3.0℃, 0.9℃, 7.3, 0.0mm
2017-12-16, -5.7℃, -2.6℃, 0.0,  -
2017-12-17, -6.7℃, -2.3℃, 1.1,  -
2017-12-18, -1.6℃, 3.3℃, 6.8, 3.4mm
2017-12-19, -3.9℃, -1.0℃, 1.0,  -
2017-12-20, -3.9℃, -0.1℃, 7.1, 0.2mm
2017-12-21, -0.9℃, 4.6℃, 0.4,  -
