ณฏยฅ, ฦ๒ฑีฑโฟย, รึฐํฑโฟย, รึภ๚ฑโฟย, ฦ๒ฑีฟ๎ทฎ, ภฯฐญผ๖ทฎ
2016-7-6, 22.9กษ, 26.9กษ, 20.3กษ, 6.8, 0.0mm
2016-7-7, 24.0กษ, 28.5กษ, 20.1กษ, 7.5, 0.0mm
2016-7-8, 27.3กษ, 32.4กษ, 21.2กษ, 0.1,  -
2016-7-9, 27.7กษ, 32.7กษ, 23.2กษ, 3.1,  -
2016-7-10, 27.9กษ, 33.1กษ, 23.2กษ, 7.3,  -
2016-7-11, 28.4กษ, 33.4กษ, 24.8กษ, 8.1, 0.0mm
2016-7-12, 26.3กษ, 30.9กษ, 22.1กษ, 7.3, 3.0mm
2016-7-13, 26.3กษ, 29.5กษ, 23.2กษ, 7.6, 0.0mm
2016-7-14, 27.5กษ, 32.4กษ, 24.0กษ, 5.8, 0.1mm
2016-7-15, 26.2กษ, 29.2กษ, 23.7กษ, 9.3, 1.5mm
2016-7-16, 20.8กษ, 23.8กษ, 19.8กษ, 10.0, 46.5mm
2016-7-17, 21.7กษ, 23.1กษ, 20.4กษ, 10.0, 2.5mm
2016-7-18, 24.4กษ, 28.4กษ, 20.7กษ, 5.9, 0.2mm
2016-7-19, 27.1กษ, 32.4กษ, 20.9กษ, 3.6,  -
2016-7-20, 28.6กษ, 32.9กษ, 24.0กษ, 5.4,  -
2016-7-21, 28.3กษ, 32.2กษ, 24.9กษ, 6.8,  -
2016-7-22, 29.1กษ, 34.1กษ, 25.3กษ, 6.5,  -
2016-7-23, 28.7กษ, 31.6กษ, 27.2กษ, 8.8, 0.5mm
2016-7-24, 28.0กษ, 30.1กษ, 27.0กษ, 9.6, 0.5mm
2016-7-25, 28.4กษ, 31.4กษ, 26.4กษ, 6.6,  -
2016-7-26, 28.4กษ, 31.9กษ, 25.6กษ, 6.8,  -
2016-7-27, 27.6กษ, 28.9กษ, 26.7กษ, 9.4, 0.5mm
2016-7-28, 28.0กษ, 30.5กษ, 26.7กษ, 6.3, 0.2mm
2016-7-29, 26.3กษ, 28.4กษ, 23.4กษ, 9.6, 59.5mm
2016-7-30, 28.6กษ, 33.0กษ, 26.4กษ, 5.9, 0.5mm
2016-7-31, 28.9กษ, 32.8กษ, 26.6กษ, 5.4, 0.2mm
2016-8-1, 28.4กษ, 32.4กษ, 25.8กษ, 6.3,  -
2016-8-2, 27.2กษ, 31.1กษ, 25.0กษ, 7.6, 2.0mm
2016-8-3, 29.1กษ, 34.2กษ, 24.0กษ, 4.1,  -
2016-8-4, 30.7กษ, 35.7กษ, 26.0กษ, 1.1,  -
2016-8-5, 31.2กษ, 36.0กษ, 26.5กษ, 1.9,  -
